category_priority,category_title,category_slug,category_legacy_titles,category_description,situation_priority,situation_title,situation_slug,situation_short_description
7,"Покупки, услуги и защита потребителей",pokupki-uslugi-i-zashchita-potrebiteley,Потребители,"Возврат товара, некачественный товар или услуга, гарантия, маркетплейсы, туризм, навязанные услуги и споры с банком.",10,Навязанные услуги,navyazannye-uslugi,"Что делать, если ваша ситуация связана с темой: навязанные услуги."
7,"Покупки, услуги и защита потребителей",pokupki-uslugi-i-zashchita-potrebiteley,Потребители,"Возврат товара, некачественный товар или услуга, гарантия, маркетплейсы, туризм, навязанные услуги и споры с банком.",11,Спор с банком,spor-s-bankom,"Что делать, если ваша ситуация связана с темой: спор с банком."
7,"Покупки, услуги и защита потребителей",pokupki-uslugi-i-zashchita-potrebiteley,Потребители,"Возврат товара, некачественный товар или услуга, гарантия, маркетплейсы, туризм, навязанные услуги и споры с банком.",12,Мошенничество при покупке,moshennichestvo-pri-pokupke,"Что делать, если ваша ситуация связана с темой: мошенничество при покупке."
8,"Авто, ДТП, штрафы и транспорт",avto-dtp-shtrafy-i-transport,Авто,"ДТП, ОСАГО, КАСКО, штрафы ГИБДД, лишение прав, покупка и продажа автомобиля, автокредит и споры с автосервисом.",1,ДТП,dtp,"Что делать, если ваша ситуация связана с темой: дтп."
8,"Авто, ДТП, штрафы и транспорт",avto-dtp-shtrafy-i-transport,Авто,"ДТП, ОСАГО, КАСКО, штрафы ГИБДД, лишение прав, покупка и продажа автомобиля, автокредит и споры с автосервисом.",2,ОСАГО,osago,"Что делать, если ваша ситуация связана с темой: осаго."
8,"Авто, ДТП, штрафы и транспорт",avto-dtp-shtrafy-i-transport,Авто,"ДТП, ОСАГО, КАСКО, штрафы ГИБДД, лишение прав, покупка и продажа автомобиля, автокредит и споры с автосервисом.",3,КАСКО,kasko,"Что делать, если ваша ситуация связана с темой: каско."
8,"Авто, ДТП, штрафы и транспорт",avto-dtp-shtrafy-i-transport,Авто,"ДТП, ОСАГО, КАСКО, штрафы ГИБДД, лишение прав, покупка и продажа автомобиля, автокредит и споры с автосервисом.",4,Штрафы ГИБДД,shtrafy-gibdd,"Что делать, если ваша ситуация связана с темой: штрафы гибдд."
8,"Авто, ДТП, штрафы и транспорт",avto-dtp-shtrafy-i-transport,Авто,"ДТП, ОСАГО, КАСКО, штрафы ГИБДД, лишение прав, покупка и продажа автомобиля, автокредит и споры с автосервисом.",5,Лишение водительских прав,lishenie-voditelskih-prav,"Что делать, если ваша ситуация связана с темой: лишение водительских прав."
8,"Авто, ДТП, штрафы и транспорт",avto-dtp-shtrafy-i-transport,Авто,"ДТП, ОСАГО, КАСКО, штрафы ГИБДД, лишение прав, покупка и продажа автомобиля, автокредит и споры с автосервисом.",6,Продажа автомобиля,prodazha-avtomobilya,"Что делать, если ваша ситуация связана с темой: продажа автомобиля."
8,"Авто, ДТП, штрафы и транспорт",avto-dtp-shtrafy-i-transport,Авто,"ДТП, ОСАГО, КАСКО, штрафы ГИБДД, лишение прав, покупка и продажа автомобиля, автокредит и споры с автосервисом.",7,Покупка автомобиля,pokupka-avtomobilya,"Что делать, если ваша ситуация связана с темой: покупка автомобиля."
8,"Авто, ДТП, штрафы и транспорт",avto-dtp-shtrafy-i-transport,Авто,"ДТП, ОСАГО, КАСКО, штрафы ГИБДД, лишение прав, покупка и продажа автомобиля, автокредит и споры с автосервисом.",8,Автокредит,avtokredit,"Что делать, если ваша ситуация связана с темой: автокредит."
8,"Авто, ДТП, штрафы и транспорт",avto-dtp-shtrafy-i-transport,Авто,"ДТП, ОСАГО, КАСКО, штрафы ГИБДД, лишение прав, покупка и продажа автомобиля, автокредит и споры с автосервисом.",9,Эвакуация автомобиля,evakuaciya-avtomobilya,"Что делать, если ваша ситуация связана с темой: эвакуация автомобиля."
8,"Авто, ДТП, штрафы и транспорт",avto-dtp-shtrafy-i-transport,Авто,"ДТП, ОСАГО, КАСКО, штрафы ГИБДД, лишение прав, покупка и продажа автомобиля, автокредит и споры с автосервисом.",10,Регистрация автомобиля,registraciya-avtomobilya,"Что делать, если ваша ситуация связана с темой: регистрация автомобиля."
8,"Авто, ДТП, штрафы и транспорт",avto-dtp-shtrafy-i-transport,Авто,"ДТП, ОСАГО, КАСКО, штрафы ГИБДД, лишение прав, покупка и продажа автомобиля, автокредит и споры с автосервисом.",11,Споры с автосервисом,spory-s-avtoservisom,"Что делать, если ваша ситуация связана с темой: споры с автосервисом."
9,Наследство,nasledstvo,,"Вступление в наследство, сроки, завещание, наследство без завещания, обязательная доля, долги и споры наследников.",1,Вступление в наследство,vstuplenie-v-nasledstvo,"Что делать, если ваша ситуация связана с темой: вступление в наследство."
9,Наследство,nasledstvo,,"Вступление в наследство, сроки, завещание, наследство без завещания, обязательная доля, долги и споры наследников.",2,Срок принятия наследства,srok-prinyatiya-nasledstva,"Что делать, если ваша ситуация связана с темой: срок принятия наследства."
9,Наследство,nasledstvo,,"Вступление в наследство, сроки, завещание, наследство без завещания, обязательная доля, долги и споры наследников.",3,Завещание,zaveshchanie,"Что делать, если ваша ситуация связана с темой: завещание."
9,Наследство,nasledstvo,,"Вступление в наследство, сроки, завещание, наследство без завещания, обязательная доля, долги и споры наследников.",4,Наследство без завещания,nasledstvo-bez-zaveshchaniya,"Что делать, если ваша ситуация связана с темой: наследство без завещания."
9,Наследство,nasledstvo,,"Вступление в наследство, сроки, завещание, наследство без завещания, обязательная доля, долги и споры наследников.",5,Обязательная доля,obyazatelnaya-dolya,"Что делать, если ваша ситуация связана с темой: обязательная доля."
9,Наследство,nasledstvo,,"Вступление в наследство, сроки, завещание, наследство без завещания, обязательная доля, долги и споры наследников.",6,Наследственные долги,nasledstvennye-dolgi,"Что делать, если ваша ситуация связана с темой: наследственные долги."
9,Наследство,nasledstvo,,"Вступление в наследство, сроки, завещание, наследство без завещания, обязательная доля, долги и споры наследников.",7,Спор между наследниками,spor-mezhdu-naslednikami,"Что делать, если ваша ситуация связана с темой: спор между наследниками."
9,Наследство,nasledstvo,,"Вступление в наследство, сроки, завещание, наследство без завещания, обязательная доля, долги и споры наследников.",8,Нотариус,notarius,"Что делать, если ваша ситуация связана с темой: нотариус."
9,Наследство,nasledstvo,,"Вступление в наследство, сроки, завещание, наследство без завещания, обязательная доля, долги и споры наследников.",9,Наследство на квартиру,nasledstvo-na-kvartiru,"Что делать, если ваша ситуация связана с темой: наследство на квартиру."
9,Наследство,nasledstvo,,"Вступление в наследство, сроки, завещание, наследство без завещания, обязательная доля, долги и споры наследников.",10,Отказ от наследства,otkaz-ot-nasledstva,"Что делать, если ваша ситуация связана с темой: отказ от наследства."
10,"Суд, жалобы и защита прав",sud-zhaloby-i-zashchita-prav,Суд,"Иски, судебные приказы, апелляции, исполнительные листы, жалобы в ведомства, претензии и восстановление сроков.",1,Исковое заявление,iskovoe-zayavlenie,"Что делать, если ваша ситуация связана с темой: исковое заявление."
10,"Суд, жалобы и защита прав",sud-zhaloby-i-zashchita-prav,Суд,"Иски, судебные приказы, апелляции, исполнительные листы, жалобы в ведомства, претензии и восстановление сроков.",2,Судебный приказ,sudebnyy-prikaz,"Что делать, если ваша ситуация связана с темой: судебный приказ."
10,"Суд, жалобы и защита прав",sud-zhaloby-i-zashchita-prav,Суд,"Иски, судебные приказы, апелляции, исполнительные листы, жалобы в ведомства, претензии и восстановление сроков.",3,Обжалование решения суда,obzhalovanie-resheniya-suda,"Что делать, если ваша ситуация связана с темой: обжалование решения суда."
10,"Суд, жалобы и защита прав",sud-zhaloby-i-zashchita-prav,Суд,"Иски, судебные приказы, апелляции, исполнительные листы, жалобы в ведомства, претензии и восстановление сроков.",4,Апелляция,apellyaciya,"Что делать, если ваша ситуация связана с темой: апелляция."
10,"Суд, жалобы и защита прав",sud-zhaloby-i-zashchita-prav,Суд,"Иски, судебные приказы, апелляции, исполнительные листы, жалобы в ведомства, претензии и восстановление сроков.",5,Исполнительный лист,ispolnitelnyy-list,"Что делать, если ваша ситуация связана с темой: исполнительный лист."
10,"Суд, жалобы и защита прав",sud-zhaloby-i-zashchita-prav,Суд,"Иски, судебные приказы, апелляции, исполнительные листы, жалобы в ведомства, претензии и восстановление сроков.",6,Жалоба в прокуратуру,zhaloba-v-prokuraturu,"Что делать, если ваша ситуация связана с темой: жалоба в прокуратуру."
10,"Суд, жалобы и защита прав",sud-zhaloby-i-zashchita-prav,Суд,"Иски, судебные приказы, апелляции, исполнительные листы, жалобы в ведомства, претензии и восстановление сроков.",7,Жалоба в Роспотребнадзор,zhaloba-v-rospotrebnadzor,"Что делать, если ваша ситуация связана с темой: жалоба в роспотребнадзор."
10,"Суд, жалобы и защита прав",sud-zhaloby-i-zashchita-prav,Суд,"Иски, судебные приказы, апелляции, исполнительные листы, жалобы в ведомства, претензии и восстановление сроков.",8,Жалоба в трудовую инспекцию,zhaloba-v-trudovuyu-inspekciyu,"Что делать, если ваша ситуация связана с темой: жалоба в трудовую инспекцию."
10,"Суд, жалобы и защита прав",sud-zhaloby-i-zashchita-prav,Суд,"Иски, судебные приказы, апелляции, исполнительные листы, жалобы в ведомства, претензии и восстановление сроков.",9,Жалоба на пристава,zhaloba-na-pristava,"Что делать, если ваша ситуация связана с темой: жалоба на пристава."
10,"Суд, жалобы и защита прав",sud-zhaloby-i-zashchita-prav,Суд,"Иски, судебные приказы, апелляции, исполнительные листы, жалобы в ведомства, претензии и восстановление сроков.",10,Восстановление сроков,vosstanovlenie-srokov,"Что делать, если ваша ситуация связана с темой: восстановление сроков."
10,"Суд, жалобы и защита прав",sud-zhaloby-i-zashchita-prav,Суд,"Иски, судебные приказы, апелляции, исполнительные листы, жалобы в ведомства, претензии и восстановление сроков.",11,Досудебная претензия,dosudebnaya-pretenziya,"Что делать, если ваша ситуация связана с темой: досудебная претензия."
11,"Пенсии, пособия и социальные выплаты",pensii-posobiya-i-socialnye-vyplaty,Социальные выплаты,"Пенсии, детские пособия, единое пособие, выплаты беременным и многодетным, льготы, субсидии и выплаты семьям участников СВО.",1,Пенсия по возрасту,pensiya-po-vozrastu,"Что делать, если ваша ситуация связана с темой: пенсия по возрасту."
11,"Пенсии, пособия и социальные выплаты",pensii-posobiya-i-socialnye-vyplaty,Социальные выплаты,"Пенсии, детские пособия, единое пособие, выплаты беременным и многодетным, льготы, субсидии и выплаты семьям участников СВО.",2,Пенсия по инвалидности,pensiya-po-invalidnosti,"Что делать, если ваша ситуация связана с темой: пенсия по инвалидности."
11,"Пенсии, пособия и социальные выплаты",pensii-posobiya-i-socialnye-vyplaty,Социальные выплаты,"Пенсии, детские пособия, единое пособие, выплаты беременным и многодетным, льготы, субсидии и выплаты семьям участников СВО.",3,Социальные пособия,socialnye-posobiya,"Что делать, если ваша ситуация связана с темой: социальные пособия."
11,"Пенсии, пособия и социальные выплаты",pensii-posobiya-i-socialnye-vyplaty,Социальные выплаты,"Пенсии, детские пособия, единое пособие, выплаты беременным и многодетным, льготы, субсидии и выплаты семьям участников СВО.",4,Детские пособия,detskie-posobiya,"Что делать, если ваша ситуация связана с темой: детские пособия."
11,"Пенсии, пособия и социальные выплаты",pensii-posobiya-i-socialnye-vyplaty,Социальные выплаты,"Пенсии, детские пособия, единое пособие, выплаты беременным и многодетным, льготы, субсидии и выплаты семьям участников СВО.",5,Единое пособие,edinoe-posobie,"Что делать, если ваша ситуация связана с темой: единое пособие."
11,"Пенсии, пособия и социальные выплаты",pensii-posobiya-i-socialnye-vyplaty,Социальные выплаты,"Пенсии, детские пособия, единое пособие, выплаты беременным и многодетным, льготы, субсидии и выплаты семьям участников СВО.",6,Выплаты беременным,vyplaty-beremennym,"Что делать, если ваша ситуация связана с темой: выплаты беременным."
11,"Пенсии, пособия и социальные выплаты",pensii-posobiya-i-socialnye-vyplaty,Социальные выплаты,"Пенсии, детские пособия, единое пособие, выплаты беременным и многодетным, льготы, субсидии и выплаты семьям участников СВО.",7,Выплаты многодетным,vyplaty-mnogodetnym,"Что делать, если ваша ситуация связана с темой: выплаты многодетным."
11,"Пенсии, пособия и социальные выплаты",pensii-posobiya-i-socialnye-vyplaty,Социальные выплаты,"Пенсии, детские пособия, единое пособие, выплаты беременным и многодетным, льготы, субсидии и выплаты семьям участников СВО.",8,Субсидии,subsidii,"Что делать, если ваша ситуация связана с темой: субсидии."
11,"Пенсии, пособия и социальные выплаты",pensii-posobiya-i-socialnye-vyplaty,Социальные выплаты,"Пенсии, детские пособия, единое пособие, выплаты беременным и многодетным, льготы, субсидии и выплаты семьям участников СВО.",9,Льготы,lgoty,"Что делать, если ваша ситуация связана с темой: льготы."
11,"Пенсии, пособия и социальные выплаты",pensii-posobiya-i-socialnye-vyplaty,Социальные выплаты,"Пенсии, детские пособия, единое пособие, выплаты беременным и многодетным, льготы, субсидии и выплаты семьям участников СВО.",10,Выплаты семьям участников СВО,vyplaty-semyam-uchastnikov-svo,"Что делать, если ваша ситуация связана с темой: выплаты семьям участников сво."
11,"Пенсии, пособия и социальные выплаты",pensii-posobiya-i-socialnye-vyplaty,Социальные выплаты,"Пенсии, детские пособия, единое пособие, выплаты беременным и многодетным, льготы, субсидии и выплаты семьям участников СВО.",11,Выплаты при ранении,vyplaty-pri-ranenii,"Что делать, если ваша ситуация связана с темой: выплаты при ранении."
11,"Пенсии, пособия и социальные выплаты",pensii-posobiya-i-socialnye-vyplaty,Социальные выплаты,"Пенсии, детские пособия, единое пособие, выплаты беременным и многодетным, льготы, субсидии и выплаты семьям участников СВО.",12,Выплаты при гибели военнослужащего,vyplaty-pri-gibeli-voennosluzhashchego,"Что делать, если ваша ситуация связана с темой: выплаты при гибели военнослужащего."
12,ЖКХ и коммунальные услуги,zhkh-i-kommunalnye-uslugi,ЖКХ,"Долги за ЖКХ, управляющая компания, перерасчёт, капремонт, отключения, затопление квартиры, ТСЖ и собрания собственников.",1,Долги за ЖКХ,dolgi-za-zhkh,"Что делать, если ваша ситуация связана с темой: долги за жкх."
12,ЖКХ и коммунальные услуги,zhkh-i-kommunalnye-uslugi,ЖКХ,"Долги за ЖКХ, управляющая компания, перерасчёт, капремонт, отключения, затопление квартиры, ТСЖ и собрания собственников.",2,Управляющая компания,upravlyayushchaya-kompaniya,"Что делать, если ваша ситуация связана с темой: управляющая компания."
12,ЖКХ и коммунальные услуги,zhkh-i-kommunalnye-uslugi,ЖКХ,"Долги за ЖКХ, управляющая компания, перерасчёт, капремонт, отключения, затопление квартиры, ТСЖ и собрания собственников.",3,Перерасчёт коммунальных платежей,pereraschet-kommunalnyh-platezhey,"Что делать, если ваша ситуация связана с темой: перерасчёт коммунальных платежей."
12,ЖКХ и коммунальные услуги,zhkh-i-kommunalnye-uslugi,ЖКХ,"Долги за ЖКХ, управляющая компания, перерасчёт, капремонт, отключения, затопление квартиры, ТСЖ и собрания собственников.",4,Капремонт,kapremont,"Что делать, если ваша ситуация связана с темой: капремонт."
12,ЖКХ и коммунальные услуги,zhkh-i-kommunalnye-uslugi,ЖКХ,"Долги за ЖКХ, управляющая компания, перерасчёт, капремонт, отключения, затопление квартиры, ТСЖ и собрания собственников.",5,"Отключение воды, света или газа",otklyuchenie-vody-sveta-ili-gaza,"Что делать, если ваша ситуация связана с темой: отключение воды, света или газа."
12,ЖКХ и коммунальные услуги,zhkh-i-kommunalnye-uslugi,ЖКХ,"Долги за ЖКХ, управляющая компания, перерасчёт, капремонт, отключения, затопление квартиры, ТСЖ и собрания собственников.",6,Затопление квартиры,zatoplenie-kvartiry,"Что делать, если ваша ситуация связана с темой: затопление квартиры."
12,ЖКХ и коммунальные услуги,zhkh-i-kommunalnye-uslugi,ЖКХ,"Долги за ЖКХ, управляющая компания, перерасчёт, капремонт, отключения, затопление квартиры, ТСЖ и собрания собственников.",7,Общее имущество дома,obshchee-imushchestvo-doma,"Что делать, если ваша ситуация связана с темой: общее имущество дома."
12,ЖКХ и коммунальные услуги,zhkh-i-kommunalnye-uslugi,ЖКХ,"Долги за ЖКХ, управляющая компания, перерасчёт, капремонт, отключения, затопление квартиры, ТСЖ и собрания собственников.",8,Собрание собственников,sobranie-sobstvennikov,"Что делать, если ваша ситуация связана с темой: собрание собственников."
12,ЖКХ и коммунальные услуги,zhkh-i-kommunalnye-uslugi,ЖКХ,"Долги за ЖКХ, управляющая компания, перерасчёт, капремонт, отключения, затопление квартиры, ТСЖ и собрания собственников.",9,ТСЖ,tszh,"Что делать, если ваша ситуация связана с темой: тсж."
12,ЖКХ и коммунальные услуги,zhkh-i-kommunalnye-uslugi,ЖКХ,"Долги за ЖКХ, управляющая компания, перерасчёт, капремонт, отключения, затопление квартиры, ТСЖ и собрания собственников.",10,Споры с соседями,spory-s-sosedyami,"Что делать, если ваша ситуация связана с темой: споры с соседями."
13,Медицина и здоровье,medicina-i-zdorove,Медицина,"Больничные, медицинские ошибки, отказ в лечении, ОМС, инвалидность, лекарства, медкомиссии и вред здоровью.",1,Больничный лист,bolnichnyy-list,"Что делать, если ваша ситуация связана с темой: больничный лист."
13,Медицина и здоровье,medicina-i-zdorove,Медицина,"Больничные, медицинские ошибки, отказ в лечении, ОМС, инвалидность, лекарства, медкомиссии и вред здоровью.",2,Медицинская ошибка,medicinskaya-oshibka,"Что делать, если ваша ситуация связана с темой: медицинская ошибка."
13,Медицина и здоровье,medicina-i-zdorove,Медицина,"Больничные, медицинские ошибки, отказ в лечении, ОМС, инвалидность, лекарства, медкомиссии и вред здоровью.",3,Отказ в лечении,otkaz-v-lechenii,"Что делать, если ваша ситуация связана с темой: отказ в лечении."
13,Медицина и здоровье,medicina-i-zdorove,Медицина,"Больничные, медицинские ошибки, отказ в лечении, ОМС, инвалидность, лекарства, медкомиссии и вред здоровью.",4,ОМС,oms,"Что делать, если ваша ситуация связана с темой: омс."
13,Медицина и здоровье,medicina-i-zdorove,Медицина,"Больничные, медицинские ошибки, отказ в лечении, ОМС, инвалидность, лекарства, медкомиссии и вред здоровью.",5,Инвалидность,invalidnost,"Что делать, если ваша ситуация связана с темой: инвалидность."
13,Медицина и здоровье,medicina-i-zdorove,Медицина,"Больничные, медицинские ошибки, отказ в лечении, ОМС, инвалидность, лекарства, медкомиссии и вред здоровью.",6,Лекарства,lekarstva,"Что делать, если ваша ситуация связана с темой: лекарства."
13,Медицина и здоровье,medicina-i-zdorove,Медицина,"Больничные, медицинские ошибки, отказ в лечении, ОМС, инвалидность, лекарства, медкомиссии и вред здоровью.",7,Психиатрическая помощь,psihiatricheskaya-pomoshch,"Что делать, если ваша ситуация связана с темой: психиатрическая помощь."
13,Медицина и здоровье,medicina-i-zdorove,Медицина,"Больничные, медицинские ошибки, отказ в лечении, ОМС, инвалидность, лекарства, медкомиссии и вред здоровью.",8,Медкомиссия,medkomissiya,"Что делать, если ваша ситуация связана с темой: медкомиссия."
13,Медицина и здоровье,medicina-i-zdorove,Медицина,"Больничные, медицинские ошибки, отказ в лечении, ОМС, инвалидность, лекарства, медкомиссии и вред здоровью.",9,ВВК,vvk,"Что делать, если ваша ситуация связана с темой: ввк."
13,Медицина и здоровье,medicina-i-zdorove,Медицина,"Больничные, медицинские ошибки, отказ в лечении, ОМС, инвалидность, лекарства, медкомиссии и вред здоровью.",10,Компенсация вреда здоровью,kompensaciya-vreda-zdorovyu,"Что делать, если ваша ситуация связана с темой: компенсация вреда здоровью."
14,Образование,obrazovanie,,"Школа, детский сад, колледж, вуз, отчисление, академический отпуск, платное обучение, права студентов и родителей.",1,Школа,shkola,"Что делать, если ваша ситуация связана с темой: школа."
14,Образование,obrazovanie,,"Школа, детский сад, колледж, вуз, отчисление, академический отпуск, платное обучение, права студентов и родителей.",2,Детский сад,detskiy-sad,"Что делать, если ваша ситуация связана с темой: детский сад."
14,Образование,obrazovanie,,"Школа, детский сад, колледж, вуз, отчисление, академический отпуск, платное обучение, права студентов и родителей.",3,Колледж,kolledzh,"Что делать, если ваша ситуация связана с темой: колледж."
14,Образование,obrazovanie,,"Школа, детский сад, колледж, вуз, отчисление, академический отпуск, платное обучение, права студентов и родителей.",4,Вуз,vuz,"Что делать, если ваша ситуация связана с темой: вуз."
14,Образование,obrazovanie,,"Школа, детский сад, колледж, вуз, отчисление, академический отпуск, платное обучение, права студентов и родителей.",5,Отчисление,otchislenie,"Что делать, если ваша ситуация связана с темой: отчисление."
14,Образование,obrazovanie,,"Школа, детский сад, колледж, вуз, отчисление, академический отпуск, платное обучение, права студентов и родителей.",6,Академический отпуск,akademicheskiy-otpusk,"Что делать, если ваша ситуация связана с темой: академический отпуск."
14,Образование,obrazovanie,,"Школа, детский сад, колледж, вуз, отчисление, академический отпуск, платное обучение, права студентов и родителей.",7,Платное обучение,platnoe-obuchenie,"Что делать, если ваша ситуация связана с темой: платное обучение."
14,Образование,obrazovanie,,"Школа, детский сад, колледж, вуз, отчисление, академический отпуск, платное обучение, права студентов и родителей.",8,Возврат денег за обучение,vozvrat-deneg-za-obuchenie,"Что делать, если ваша ситуация связана с темой: возврат денег за обучение."
14,Образование,obrazovanie,,"Школа, детский сад, колледж, вуз, отчисление, академический отпуск, платное обучение, права студентов и родителей.",9,Конфликт с образовательной организацией,konflikt-s-obrazovatelnoy-organizaciey,"Что делать, если ваша ситуация связана с темой: конфликт с образовательной организацией."
14,Образование,obrazovanie,,"Школа, детский сад, колледж, вуз, отчисление, академический отпуск, платное обучение, права студентов и родителей.",10,Права студента,prava-studenta,"Что делать, если ваша ситуация связана с темой: права студента."
14,Образование,obrazovanie,,"Школа, детский сад, колледж, вуз, отчисление, академический отпуск, платное обучение, права студентов и родителей.",11,Права родителей школьника,prava-roditeley-shkolnika,"Что делать, если ваша ситуация связана с темой: права родителей школьника."
15,"Бизнес, ИП и самозанятые",biznes-ip-i-samozanyatye,Бизнес,"Регистрация ИП, самозанятость, договоры, налоги, штрафы, проверки, закрытие ИП, долги и споры с контрагентами.",1,Регистрация ИП,registraciya-ip,"Что делать, если ваша ситуация связана с темой: регистрация ип."
15,"Бизнес, ИП и самозанятые",biznes-ip-i-samozanyatye,Бизнес,"Регистрация ИП, самозанятость, договоры, налоги, штрафы, проверки, закрытие ИП, долги и споры с контрагентами.",2,Самозанятость,samozanyatost,"Что делать, если ваша ситуация связана с темой: самозанятость."
15,"Бизнес, ИП и самозанятые",biznes-ip-i-samozanyatye,Бизнес,"Регистрация ИП, самозанятость, договоры, налоги, штрафы, проверки, закрытие ИП, долги и споры с контрагентами.",3,Договор с клиентом,dogovor-s-klientom,"Что делать, если ваша ситуация связана с темой: договор с клиентом."
15,"Бизнес, ИП и самозанятые",biznes-ip-i-samozanyatye,Бизнес,"Регистрация ИП, самозанятость, договоры, налоги, штрафы, проверки, закрытие ИП, долги и споры с контрагентами.",4,Налоги ИП,nalogi-ip,"Что делать, если ваша ситуация связана с темой: налоги ип."
15,"Бизнес, ИП и самозанятые",biznes-ip-i-samozanyatye,Бизнес,"Регистрация ИП, самозанятость, договоры, налоги, штрафы, проверки, закрытие ИП, долги и споры с контрагентами.",5,Штрафы бизнеса,shtrafy-biznesa,"Что делать, если ваша ситуация связана с темой: штрафы бизнеса."
15,"Бизнес, ИП и самозанятые",biznes-ip-i-samozanyatye,Бизнес,"Регистрация ИП, самозанятость, договоры, налоги, штрафы, проверки, закрытие ИП, долги и споры с контрагентами.",6,Проверки,proverki,"Что делать, если ваша ситуация связана с темой: проверки."
15,"Бизнес, ИП и самозанятые",biznes-ip-i-samozanyatye,Бизнес,"Регистрация ИП, самозанятость, договоры, налоги, штрафы, проверки, закрытие ИП, долги и споры с контрагентами.",7,Закрытие ИП,zakrytie-ip,"Что делать, если ваша ситуация связана с темой: закрытие ип."
15,"Бизнес, ИП и самозанятые",biznes-ip-i-samozanyatye,Бизнес,"Регистрация ИП, самозанятость, договоры, налоги, штрафы, проверки, закрытие ИП, долги и споры с контрагентами.",8,Долги ИП,dolgi-ip,"Что делать, если ваша ситуация связана с темой: долги ип."
15,"Бизнес, ИП и самозанятые",biznes-ip-i-samozanyatye,Бизнес,"Регистрация ИП, самозанятость, договоры, налоги, штрафы, проверки, закрытие ИП, долги и споры с контрагентами.",9,Споры с контрагентами,spory-s-kontragentami,"Что делать, если ваша ситуация связана с темой: споры с контрагентами."
15,"Бизнес, ИП и самозанятые",biznes-ip-i-samozanyatye,Бизнес,"Регистрация ИП, самозанятость, договоры, налоги, штрафы, проверки, закрытие ИП, долги и споры с контрагентами.",10,Онлайн-бизнес,onlayn-biznes,"Что делать, если ваша ситуация связана с темой: онлайн-бизнес."
16,Уголовные и административные риски,ugolovnye-i-administrativnye-riski,Уголовные риски,"Административные штрафы, заявления в полицию, допросы, побои, кража, мошенничество, угрозы, клевета и судимость.",1,Административный штраф,administrativnyy-shtraf,"Что делать, если ваша ситуация связана с темой: административный штраф."
16,Уголовные и административные риски,ugolovnye-i-administrativnye-riski,Уголовные риски,"Административные штрафы, заявления в полицию, допросы, побои, кража, мошенничество, угрозы, клевета и судимость.",2,Привлечение к ответственности,privlechenie-k-otvetstvennosti,"Что делать, если ваша ситуация связана с темой: привлечение к ответственности."
16,Уголовные и административные риски,ugolovnye-i-administrativnye-riski,Уголовные риски,"Административные штрафы, заявления в полицию, допросы, побои, кража, мошенничество, угрозы, клевета и судимость.",3,Побои,poboi,"Что делать, если ваша ситуация связана с темой: побои."
16,Уголовные и административные риски,ugolovnye-i-administrativnye-riski,Уголовные риски,"Административные штрафы, заявления в полицию, допросы, побои, кража, мошенничество, угрозы, клевета и судимость.",4,Кража,krazha,"Что делать, если ваша ситуация связана с темой: кража."
16,Уголовные и административные риски,ugolovnye-i-administrativnye-riski,Уголовные риски,"Административные штрафы, заявления в полицию, допросы, побои, кража, мошенничество, угрозы, клевета и судимость.",5,Мошенничество,moshennichestvo,"Что делать, если ваша ситуация связана с темой: мошенничество."
16,Уголовные и административные риски,ugolovnye-i-administrativnye-riski,Уголовные риски,"Административные штрафы, заявления в полицию, допросы, побои, кража, мошенничество, угрозы, клевета и судимость.",6,Наркотики,narkotiki,"Что делать, если ваша ситуация связана с темой: наркотики."
16,Уголовные и административные риски,ugolovnye-i-administrativnye-riski,Уголовные риски,"Административные штрафы, заявления в полицию, допросы, побои, кража, мошенничество, угрозы, клевета и судимость.",7,Угроза,ugroza,"Что делать, если ваша ситуация связана с темой: угроза."
16,Уголовные и административные риски,ugolovnye-i-administrativnye-riski,Уголовные риски,"Административные штрафы, заявления в полицию, допросы, побои, кража, мошенничество, угрозы, клевета и судимость.",8,Клевета,kleveta,"Что делать, если ваша ситуация связана с темой: клевета."
16,Уголовные и административные риски,ugolovnye-i-administrativnye-riski,Уголовные риски,"Административные штрафы, заявления в полицию, допросы, побои, кража, мошенничество, угрозы, клевета и судимость.",9,Заявление в полицию,zayavlenie-v-policiyu,"Что делать, если ваша ситуация связана с темой: заявление в полицию."
16,Уголовные и административные риски,ugolovnye-i-administrativnye-riski,Уголовные риски,"Административные штрафы, заявления в полицию, допросы, побои, кража, мошенничество, угрозы, клевета и судимость.",10,Допрос,dopros,"Что делать, если ваша ситуация связана с темой: допрос."
16,Уголовные и административные риски,ugolovnye-i-administrativnye-riski,Уголовные риски,"Административные штрафы, заявления в полицию, допросы, побои, кража, мошенничество, угрозы, клевета и судимость.",11,Судимость,sudimost,"Что делать, если ваша ситуация связана с темой: судимость."
16,Уголовные и административные риски,ugolovnye-i-administrativnye-riski,Уголовные риски,"Административные штрафы, заявления в полицию, допросы, побои, кража, мошенничество, угрозы, клевета и судимость.",12,Условный срок,uslovnyy-srok,"Что делать, если ваша ситуация связана с темой: условный срок."
17,"Документы, персональные данные и госуслуги",dokumenty-personalnye-dannye-i-gosuslugi,Документы,"Паспорт, СНИЛС, ИНН, загранпаспорт, доверенности, справки, персональные данные, ошибки в документах и Госуслуги.",1,Паспорт,pasport,"Что делать, если ваша ситуация связана с темой: паспорт."
