ID вопроса,Раздел,Жизненная ситуация,Интент,Дополнительные темы,Длина,Фрагмент вопроса
3548,"Потребители, покупки и услуги","Товар, гарантия и маркетплейсы",Документы и сроки,"Авто, ДТП, штрафы и транспорт",167,"По моей вине повреждена детальаль авто, авто на гарантии. Обращаюсь в сервис, говорят ждите. Месяц проходит. Сколько ждать? Какие требования можно предьявить компании?"
3549,"Семья, дети и отношения",Общее / смешанная ситуация,Проверить право/законность,"Наследство, завещание и дарение, Авто, ДТП, штрафы и транспорт",363,"Можно ли составить документ на основе которого в случае моей смерти человек который случайно или намеренно виноват в моей смерти, например ДТП или другой вред что повлечет за собой мою смерть будет освобожден от любой ответственности. Не хочется уходя в мир иной обременять людей на юр или уг мучения даже если это было прямое целенаправленное лишение меня жизни."
3550,"Долги, кредиты, банки и приставы","Кредиты, займы и МФО","Понять, что делать",,66,Могу ли я вернуть часть денег по страховке после погашения кредита
3551,"Авто, ДТП, штрафы и транспорт","Штрафы, ПДД и лишение прав",Документы и сроки,"Семья, дети и отношения, Потребители, покупки и услуги, Образование, школа и вуз",1163,"Здравствуйте! Поймали пьяную за рулем [контакт скрыт платформой], в ночь на [контакт скрыт платформой] также моим автомобилем была поцарапана чужая машина, уехала, даже не заметив. Вскрылось это спустя примерно месяц (водитель подал на поиск меня) доказать в суде, что я не заметила, как поцарапала, и не скрывалась умышленно с места дтп - у меня не получилось) [контакт скрыт платформой] меня Лишили прав на 1год 6 мес, также присудили статью за оставление места ДТП, [контакт скрыт платформой] лишили дополнительно еще на 1 год. Могут ли сроки идти параллельно? В госуслугах написано идти сдавать экзамен для получения водительских. При этом я как будто попадаю под исключение, когда сроки могут..."
3552,"Семья, дети и отношения",Развод и раздел имущества,Подать заявление/иск/жалобу,,488,"Могут ли нам в суде не давать срок на примирение при подаче заявления на развод, если есть спор, с кем будет проживать ребёнок? Ребенку 2, 5 года. Муж хочет его забрать у меня. Я естественно против. И может ли он остудить право забирать его на выходные? Я бы этого совсем не хотела, ребёнок привязан ко мне, он вообще никогда воспитанием не занимался, элементарно спать не сможет уложить. У него уже есть другая женщина. Я не хотела бы чтобы ребёнок вообще все это видел и испытала стресс"
3553,"Недвижимость, жильё и земля","Регистрация, прописка и выселение",Документы и сроки,"Потребители, покупки и услуги",165,"Как добиться перерасчета за вывоз ТКО, если в доме никто не проживает и не прописан, а собственник оплачивает услуги по вывозу ТКО по фактическому адресу проживания?"
3554,"Военная служба, мобилизация и СВО","Отсрочка, призыв и категория годности","Понять, что делать","Медицина, лечение и ОМС, Миграция, гражданство и въезд в РФ, Семья, дети и отношения",703,"Мой муж призывник, отсрочки нет. По повестке явился в военкомат на медкомиссию, там ему поставили категорию Б-3. Он объяснял всем врачам, что диагноз гипертония 1 степени не окончательный, ему необходимо дообследование, чтобы получить заключение о гипертонии 2 степени. (Записи в гос клиниках просто не было). Никто его слушать не стал и дали повестку на уточнение данных (донести документы и анализы). Самое проблемное, через неделю после даты явки у нас самолет заграницу(билеты в отпуск были куплены еще зимой). Что делать в такой ситуации? Как получить отсрочку, чтобы слетать в отпуск и открыть новый диагноз? Стоит ли ему самостоятельно посещать военкомат или лучше направить лицо по доверен..."
3555,"Авто, ДТП, штрафы и транспорт","Штрафы, ПДД и лишение прав",Подать заявление/иск/жалобу,"Уголовные вопросы, полиция и безопасность, Работа, зарплата и трудовые права, Потребители, покупки и услуги",1031,"Можно ли подать жалобу на действия следователя? У меня автосервис, помог знакомым в свое время выделив место для проведения экспертизы. Там уголовное дело. В течении года меня никуда не вызывали и не звонили. Вчера ко мне в автосервис приехал следователь с опер. сотрудниками. Запугивали по телефону, что если я не приеду в течении 30 мин. все машины с сервиса увезут на штраф стоянку(хотя у сервис офф. есть все договора и документы, находимся на закрытой и охраняемой территории). Угрожали сотрудникам, что всех увезут в отдел(их было 2-оба русские как и я), по приезду они начали обыск, забрали мой личный телефон, с 15 часов вся работа встала, они что-то искали, потом увезли меня в следственн..."
3556,"Недвижимость, жильё и земля","Доли, собственность и права жильцов",Документы и сроки,"Семья, дети и отношения, Соцподдержка, пенсии, инвалидность и льготы, Медицина, лечение и ОМС",1044,"Как я могу вернуться домой, если в 2020 году муж меня выгнал из своей квартиры, я там не прописана и не имею доли в квартиру моих родителей, где я имею долевую собственность, когда узнал что у меня появилось психическое заболевание. Сейчас я являюсь инвалидом 2 группы по психическому заболеванию, а еще недавно у меня обнаружили онкологию уже 4 стадии. Все это время муж не интересовался на что я живу, доходов кроме мизерной пенсии у меня нет. Мы находимся на данный момент в официальном браке и у нас двое несовершеннолетних детей, которые живут с мужем. Могу ли я вернуться в квартиру мужа и жить там, может ли муж препятствовать моему нахождению в его квартире, например вызывать психиатричес..."
3557,"Недвижимость, жильё и земля","Покупка, продажа и риски сделки",Проверить право/законность,"Потребители, покупки и услуги",163,"Можно ли покупать недвижимость, если в договоре продавец указывает кадастровую стоимость, а остальные деньги хочет получить по расписке? Чем это грозит покупателю?"
3558,"Военная служба, мобилизация и СВО","Выплаты, ранения и госпиталь СВО","Понять, что делать","Семья, дети и отношения, Работа, зарплата и трудовые права, Соцподдержка, пенсии, инвалидность и льготы",190,"Почему мне не защитили 6 месяцев для смешанной пенсии? Военный стаж 22, 4, гражданский 2, 5 в трудовой книжке. В пенсионном дали справку общий гражданский стаж 3 года ( до 1, 5 лет ребенка)."
3559,"Работа, зарплата и трудовые права","Трудовой договор, график и обязанности",Проверить право/законность,"Недвижимость, жильё и земля",510,"Здравствуйте. Подскажите пожалуйста ситуация такого рода. В трудовом договоре прописано что мой рабочий день с 8 утра до 5 вечера, но начальник требует что бы я ехал на рабочем поезде с пол шестого утра на работу. Законно ли это? Если в это время со мной что то случится. Будет ли работодатель нести ответственность или скажет, что я его ни куда не посылал. Как мне грамотно ответить ему, что я не согласен с его требованиями. Я не отказываюсь от работы, но я прошу либо оплаты либо изменения рабочего графика."
3560,"Работа, зарплата и трудовые права",Общее / смешанная ситуация,Оформить/получить,"Соцподдержка, пенсии, инвалидность и льготы, Потребители, покупки и услуги, Уголовные вопросы, полиция и безопасность",1382,"Как понять, что по ту сторону интернета настоящий работодатель, а не мошенник? Написали мне в вк, скорее всего нашли на [контакт скрыт платформой] на одном из сайтов по поиску работы. В сообщении указали название компании, зарегистрированной в 2018 году(проверила инф-ю по ИНН, которое тоже было в сообщении). Работа - модератор в компании, работающей с площадками по размещению объявлений. По переписке всё нормально, кроме того, что пишет скорее всего бот. (после вк переписка велась в мессенджере, где есть такая возможность). Для прохождения обучения скинули ссылку на рутюб с видео-обучением. Слышно, что видео озвучено ИИ, хоть и очень хорошо. После скинули ссылку с тренировочным заданием. ..."
3561,"Семья, дети и отношения","Брак, ЗАГС и личные отношения","Понять, что делать","Соцподдержка, пенсии, инвалидность и льготы, Военная служба, мобилизация и СВО",295,"Добрый день! Отец числится безвести пропавшим на СВО. Мне 25 лет. У бойца есть супруга и мать (пенсионер) На данный момент супруга получает выплаты. Положены ли выплаты по безвести пропавшему мне и матери бойца? И если статус сменится на «погибший», будут ли положены мне и моей бабушке выплаты?"
3562,"Миграция, гражданство и въезд в РФ",Семья иностранца и документы,"Понять, что делать","Семья, дети и отношения, Соцподдержка, пенсии, инвалидность и льготы",342,"Здравствуйте. Могу ли я расчитывать на выход на пенсию в 50 лет, имея двух детей, проживая в Мурманской области, будучи гражданкой РФ с 2009г. Дело в том, что первого ребенка я родила в 2007г. в РФ, будучи еще гражданкой украины, но состояла в браке с гражданином РФ, и документы были поданы на гражданство РФ. Второй ребенок родился в 2025г."
3563,"Военная служба, мобилизация и СВО",Гибель военнослужащего и права семьи,Документы и сроки,"Соцподдержка, пенсии, инвалидность и льготы, Документы, реестры и персональные данные",278,"У меня был отчим, жил со мной и мамой с 2011 года, в 2024 году погиб на СВО. Я уже совершеннолетняя, у меня другая фамилия так как я вышла замуж до его гибели. Могу ли я претендовать на льготу при зачислении в вуз. Какие нужны документы, чтобы я тоже считалась членом его семьи?"
3564,"Семья, дети и отношения","Брак, ЗАГС и личные отношения","Понять, что делать","Недвижимость, жильё и земля, Работа, зарплата и трудовые права, Соцподдержка, пенсии, инвалидность и льготы",324,"У соседки пропал муж, ушел из дома месяц назад, найти не могут. Статус безвести пропавший, или отсутствующий можно установить только через год... Пропавший неработающий пенсионер, у него двое несовершенно летних детей. Вопрос. - будет ли ему начисляться пенсия? И может ли его жена пользоваться (снимать с карты его пенсию)?"
3565,"Военная служба, мобилизация и СВО","Контракт, служба и увольнение",Документы и сроки,"Работа, зарплата и трудовые права, Недвижимость, жильё и земля, Уголовные вопросы, полиция и безопасность",378,"Я являюсь действующим сотрудником МВД. В настоящее время контракт с МВД приостановили сроком на один год в связи с заключением контракта с МО для участия в СВО. Сейчас срок контракта подходит к концу, руководством МВД направлен запрос в вч о моем увольнении с военной службы. Могут ли меня уволить с военной службы в связи с возвращением в МВД? Что для этого необходимо сделать?"
3566,"Соцподдержка, пенсии, инвалидность и льготы","Пенсия, стаж и СФР",Оформить/получить,,216,Здравствуйте. 1971 года рождения. 55 лет. Живу в Якутии. Общий стаж 27 лет. Северный стаж 23 года. Пенсионный баллы 65. Накопительная пенсия 460 тыс. Вопрос: Могу ли я получить эту сумму единовременно одной выплатой?
3567,"Недвижимость, жильё и земля","Ипотека, новостройки и долевое строительство",Документы и сроки,"Долги, кредиты, банки и приставы, Авто, ДТП, штрафы и транспорт, Военная служба, мобилизация и СВО",427,"Здравствуйте! Что будет со строящимся домом за ипотеку супруга, который не внесен еще в росреестр, если я являюсь созаемщиком у супруга и имею еще свою квартиру ипотеку (где супруг не является созаемщиком и у нас брачный контракт), при моем банкротстве? Так же есть автокредит у супруга, каснется ли банкротство машины? Будет ли считаться моя квартира как единственное жилье? Или все таки часть дома (моя доля) пойдет на торги?"
3568,"Семья, дети и отношения",Алименты и содержание детей,Документы и сроки,"Соцподдержка, пенсии, инвалидность и льготы",286,"Здравствуйте, можно ли подать на алименты на ребенка и на себя до достижения ребенка 3 лет находясь в браке и переоформить пособие по уходу за ребёнком на себя или нужно развестись, чтоб пособие по уходу можно было переоформить на себя? Какие документы нужны для этого? Как действовать?"
3569,"Работа, зарплата и трудовые права","Трудовой договор, график и обязанности",Подать заявление/иск/жалобу,"Потребители, покупки и услуги, Семья, дети и отношения, Авто, ДТП, штрафы и транспорт",720,"Я работаю продавцом консультантом. Когда я только пришла в компанию, у меня случились конфликты с коллегой. Она начала меня материть, оскорблять, а в одном конфликте обещала ударить. Недавно она снова начала меня оскорблять. Администратор что тогда, что сейчас не реагирует, как и директор. Должны ли они на это реагировать и что можно сделать с этим? Я хочу уйти оттуда, мои права ни раз нарушались. Меня постоянно не отпускали после смены. Задерживали часто на 6 минут, когда мне надо бежать на последний автобус, который в 22: 09. Смена до 22: 00. Могли задержать также на час или два. Если подавать на магазин жалобу, то куда? Сильно ли повлияет на них, если я обращусь в трудовую инспекцию? З..."
3570,"Семья, дети и отношения","Брак, ЗАГС и личные отношения",Оспорить/обжаловать/отменить,"Недвижимость, жильё и земля, Долги, кредиты, банки и приставы",91,Здравствуйте. Я жена участника СВО. Могут ли мне аннулировать кредит и что для этого нужно?
3571,"Авто, ДТП, штрафы и транспорт",Купля-продажа и регистрация авто,"Понять, что делать","Военная служба, мобилизация и СВО, Миграция, гражданство и въезд в РФ, Образование, школа и вуз",117,"Я иранский студент, у меня есть учебная виза в Россию. Могу ли я купить автомобиль в Армении и привезти его в Россию?"
3572,"Военная служба, мобилизация и СВО","Контракт, служба и увольнение",Документы и сроки,,166,У меня брат погиб на СВО. Я уже сам в армии. Могу ли я уволиться со срочной службы. Если брат погиб на СВО. По контракту. Помогите пожалуйста. Что нужно сделать и как
3573,"Военная служба, мобилизация и СВО","Отсрочка, призыв и категория годности",Оформить/получить,"Медицина, лечение и ОМС, Документы, реестры и персональные данные, Потребители, покупки и услуги",1068,"В 17 лет пришёл в военкомат и был отправлен дерматологом в КВД. В диспансере зафиксировали непризывную форму атопического дерматита ст. 62б расписание болезней (точная статья из заключения от военкомата). В 18 лет также лёг от военкомата в тот же КВД, где снова подтвердили данный диагноз. Военный билет мне выдан небыл, так как это был август и, как я понял, призыв на тот момент закончился и заседание ВВК уже не могли провести(опять же, я так думаю) и мне просто обратно вручили приписное свидетельство. Прошло 2 года, сейчас я на 2 курсе университета в другом городе, куда отправил личное дело(оно дошло, лично удостоверился). Заболевание воспаляется, на днях пойду зафиксирую у дерматолога но..."
3574,"Военная служба, мобилизация и СВО","Выплаты, ранения и госпиталь СВО",Подать заявление/иск/жалобу,"Долги, кредиты, банки и приставы, Авто, ДТП, штрафы и транспорт, Суды, иски и защита прав",414,"Здравствуйте, помогите пожалуйста разобраться) Был у меня штраф за тонировку, я его каким то образом пропустил, и просрочил. Вызвали в суд, присудили 1000р штраф. Такой вопрос, могу ли я подать заявление на ношение, и хранение оружия? И будет ли отказ? Не хотелось бы пошлину просто так заплатить 10000р. Так как за такое право нарушение может быть как 1000 штраф, так и арест на сутки, так и исправительные работы"
3575,"Долги, кредиты, банки и приставы","Банковские карты, счета и удержания",Проверить право/законность,"Суды, иски и защита прав",385,"Добрый день всем. Ситуация следующая: процедура банкротства прошла, опубликовали на кад. арбитре [контакт скрыт платформой] г., месяц дали на обжалование. После процедуры банкротства осталась неплохая сумма денежных средств, которая находится у ФУ и за ней нужно ехать лично к ней. Правомерно ли это? Как долго они могут находиться у нее? Почему нельзя переслать на расчетный счет мой?"
3576,"Наследство, завещание и дарение",Завещание и наследники,Подать заявление/иск/жалобу,"Суды, иски и защита прав, Семья, дети и отношения, Недвижимость, жильё и земля",1449,"Я сын покойного отца, подал иск о признании сделок дарения и завещания недействительными. Наследников по закону три: Я, моя бабушка и жена отца. Бабушка не приняла наследство от своего сына у нотариуса. В суде не участвовала. По результатам экспертизы, отец не осознавал своих действий. Прежде чем судья вынесла решение, наш адвокат уговорил нас переписать иск, в котором я просил разделить имущество на двоих, между мной и мачехой, так как бабушка наследство не приняла и в суде не участвовала. Это было сделано для того, чтобы её доля не была выморочена. Решение суда было вынесено. Сделки дарения и завещание были отменены. Имущество было поделено на двоих наследников, между мной и мачехой. Ба..."
3577,"Недвижимость, жильё и земля",Общее / смешанная ситуация,Оформить/получить,"Суды, иски и защита прав",403,"[контакт скрыт платформой] суд обязал в течение 6 месяцев выдать мне квартиру как сироте. Прошло 2 года со дня вступления в законную силу решения суда, но мне квартиру так и не выдали. В данное время я уже 10 месяцев снимаю жилье. в месяц выходит порядка 30 тысяч рублей. Могу ли я подать в суд на компенсацию в размере 300. 000 тысяч рублей и моральный вред 2 миллиона рублей? Одобрит ли суд эту сумму?"
3578,"Семья, дети и отношения",Алименты и содержание детей,Подать заявление/иск/жалобу,"Долги, кредиты, банки и приставы, Работа, зарплата и трудовые права",542,"Здравствуйте! У меня такой вопрос. Я писала заявление об неуплате алиментов. Приставы вызвали отца ребёнка к себе, взыскивали с него 70%от зарплаты. Он просил меня пойти на мировую, т. к не в состоянии оплачивать столько. Предлагает чтобы у него с зарплаты списывали как обычно, а долг он будет перечислять на карту. Я согласилась. У пристава написала расписку, что не имею к нему претензий. И вот в чем дело. Я бы хотела перестраховаться. Как можно, что-бы юридически законно имело силу, написать ему соглашение об уплате долга по алиментам."
3579,"Семья, дети и отношения","Опека, попечительство и несовершеннолетние","Понять, что делать",,140,"Что делать если произошла массовая рассылка фотографий интимного характера несовершеннолетнего, а так же рассыл пошел от несовершеннолетнего"
3580,"Потребители, покупки и услуги","Ремонт, подряд и бытовые услуги",Документы и сроки,"Документы, реестры и персональные данные",634,"На номер телефона, привязанный и к другим банкам, которым пользуюсь много лет но не зарегистрированным на меня был открыт месяц назад вб кошелёк. Телефон у меня, пользуюсь им лет 10. Но владелец сим карты по договору другой человек. С ним давно не общаюсь. Но есть его данные кроме паспортных. Был перевод позавчера на 50000, кошелёк заблокировали. Как вывести деньги? Причина блокировки 161, просто система считала перевод подозрительным. Есть ли возможность мне вернуть мои деньги? Кошелёк самый простой делала без верификации на гос услугах и тд. Только имя и номер телефона. Аккаунт в вб на мое имя. Но номер телефона не на меня.."
3581,"Соцподдержка, пенсии, инвалидность и льготы",Общее / смешанная ситуация,"Понять, что делать",,78,Положена ли выплата в 3 миллиона при обморожение ног в ходе выполнения задания
3582,"Семья, дети и отношения","Брак, ЗАГС и личные отношения","Понять, что делать",,134,"Здравствуйте. Я многодетная мама. От первого брака двое детей, от второго один. Может ли второй супруг стать членом многодетной семьи?"
3583,"Долги, кредиты, банки и приставы",Приставы и исполнительное производство,Проверить право/законность,"Авто, ДТП, штрафы и транспорт, Недвижимость, жильё и земля, Суды, иски и защита прав",485,"Можно ли продать авто, если погасить долг. у собственника два кредита. На первом кредите стоит ограничение на рег. действия автомобиля. Потом регистрация авто закончилась, т. к у собственника была временная прописка. И на втором кредите уже ограничений нет, т. к. он попал к судебному приставу уже после снятия авто с учета. Могу ли погасить 1 кредит, снимут ли ограничение с авто? Смогу ли я его продать? И может ли наложить ограничение по второму кредиту если авто на учете не стоит?"
3584,"Недвижимость, жильё и земля","Земля, гараж, кадастр и Росреестр",Проверить право/законность,,170,"Здравствуйте, можно ли переписать как то дом без участия владельца? Мы с ними не общаемся, но всю жизнь прожили в этом доме. Владелец примерно лет 15 не приезжала совсем."
3585,"Авто, ДТП, штрафы и транспорт","ДТП, ОСАГО и возмещение ущерба",Взыскать/вернуть деньги,"Долги, кредиты, банки и приставы",356,"Попал в дтп на фуре, повредил Ауди, машина не дешёвая, я официально не устроен в этой компании, вопрос: кто будет возмещать ущерб пострадавшему т к. страховка, как говорят, только до 400₽ возмещает, компания может на меня возложить возмещать ущерб или после возмещения с меня запросить денег, а если она объявит себя банкрот, то я буду должен всё оплатить?"
3586,"Военная служба, мобилизация и СВО","Отсрочка, призыв и категория годности",Проверить право/законность,,484,"В 2023 году прошёл обследование в кардиоцентре на стационаре, подтвердили гипертонию(в 2023 году было основание присвоить категорию В с таким заболеванием) После обследование отвезли документы бухгалтеру, в итоге дали отсрочку на 1 год, сейчас когда был последний раз, с этим заболеванием уже берут, когда был у терапевтов и кардиолога, сказали что должны были списать еще тогда, в 23 году. Вопрос, можно ли сейчас под этот вопрос подкопать и есть ли смысл, может юриста нанять и т. д"
3587,"Работа, зарплата и трудовые права","Отпуск, больничный, декрет","Понять, что делать",,210,"После продолжительного больничного сотрудник вышел на работу, но на его место уже приняли другого человека и сообщили, что работы больше нет. Нужно понять, какие действия доступны и как защитить трудовые права."
3588,"Недвижимость, жильё и земля","Ипотека, новостройки и долевое строительство",Документы и сроки,"Семья, дети и отношения, Долги, кредиты, банки и приставы, Бизнес, ИП, самозанятость и налоги",466,"Здравствуйте. Ситуация: я офиц замужем, муж безвести пропал на СВО. Свекровь брала ипотеку на себя для нас, так как нам с мужем отказывали банки. Мы с мужем платили ипотеку: мы делали переводы с моей карты на карту свекрови, далее банк списывал деньги в день платежа. На данный момент ипотека погашена и свекровь просит освободить квартиру, так как по документам она ее. Вопрос: могу ли я доказать, что оплату производили мы, предоставив ежемесячные чеки (переводы)."
3589,"Недвижимость, жильё и земля",Общее / смешанная ситуация,Взыскать/вернуть деньги,"Потребители, покупки и услуги, Бизнес, ИП, самозанятость и налоги",104,"Как вернуть деньги, если под предлогом поиска жилья ИП вытянул 60 тысяч рублей. Нужно алгоритм действий."
3590,"Работа, зарплата и трудовые права",Общее / смешанная ситуация,Проверить право/законность,"Авто, ДТП, штрафы и транспорт",665,"Здравствуйте, я бы хотел задать вопрос можно ли как нибудь вернуть скутер со штраф стоянки, объясняю ситуацию, дал прокатится другу, а его остановили сотрудники ДПС и увезли на штраф стоянку он совершенно летний, но нет прав ни у него ни у меня, мне предложил знакомый из администрации как я могу его забрать но хотел бы поинтересоваться у вас сработает это или нет, мне сказали то что мои 2 совершеннолетних друга могут заключить договор о купле продаже и вернуть без лишних проблем, но при этом я не знаю обязательно записывать VIN-номер скутера и что в такой ситуации делать (я думаю не мне одному будет интересно узнать ответ на этот вопрос) помогите пожалуйста"
3591,"Недвижимость, жильё и земля","Ипотека, новостройки и долевое строительство",Оценить риски сделки/действия,"Семья, дети и отношения, Наследство, завещание и дарение",367,"С мужем разведены в 2020 году, долю свою поделил на 2 детей, сделал дарственные, я имею вторую часть дома в собственности. Счета за свет, газ и тп оформлены на него. У него недавно появилась новая пассия, сын-совместный, а может её. Взял ипотеку. Вопрос: если я его выпишу по суду, какие последствия? Часть дома он не вернёт в собственность? Сделаны ведь дарственные."
3592,"Долги, кредиты, банки и приставы",Коллекторы и взыскание долгов,Подать заявление/иск/жалобу,"Соцподдержка, пенсии, инвалидность и льготы, Уголовные вопросы, полиция и безопасность",203,Здравствуйте. Подскажите могу ли я подать заявление и куда подать. если в социальной сети на протяжении долгого времени пишут оскарбления и угрозы. Можно ли узнать кто и откуда пишет. И что будет дальше?
3593,"Уголовные вопросы, полиция и безопасность","Допрос, обвинение и уголовное дело",Документы и сроки,,343,"Компанию задержали и нашли наркотики вес 1, 26г, девушка сейчас проходит по статье 228 ч 2, но она взяла всю вину на себя чтобы не было группа лиц и не дали больше, при этом она никогда не привлекалась к уголовной ответственности, при этом помогла следствию очень хорошо сотрудничала с ними. Что ей при этом будет, могут ли дать условный срок?"
3594,"Долги, кредиты, банки и приставы",Коллекторы и взыскание долгов,Подать заявление/иск/жалобу,"Бизнес, ИП, самозанятость и налоги",635,"Добрый день! У ООО нет денег на сопровождение процедуры банкротство, большие долги. Посоветовали, чтоб показать добросовестность ООО, хотя бы разослать уведомление кредиторам и подать заявление в суд, приложив иски к ООО. Прочитала порядок подачи заявления, там довольно большой пакет документов, обязательная публикация на фед ресурсе. Можно ли не публиковать, не собирать полный пакет документов, понимая, что процедуры банкротства не будет? Надо ли уведомлять налоговую ( долгов по налогам нет)? Надо ли уведомлять абсолютно всех кредиторов, или только тех, у кого задолженность простужена? Какие последствия такой подачи заявления?"
3595,"Миграция, гражданство и въезд в РФ",Семья иностранца и документы,Документы и сроки,"Семья, дети и отношения, Документы, реестры и персональные данные, Военная служба, мобилизация и СВО",409,"Мама - россиянка, папа - белорус. Ребёнок родился в РФ и до трёх лет жил в Белоруссии с родителями. Затем все переехали в РФ. Паспорт в 14 лет ребёнок получил в России. В Свидетельстве о рождении стоит печать, что он гражданин РФ. Папа принял российское гражданство в 2011 году. Ребёнок стал студентом вуза с Военной кафедрой. Проявилось двойное гражданство. Как быстро отказаться от белорусского гражданства?"
